date,route_id,sku_id,transport_mode,distance_km,cost,delivery_time_days
2025-02-17,R003,SKU018,Rail,634,12046,8
2025-04-16,R005,SKU003,Rail,959,6713,2
2025-01-07,R003,SKU004,Truck,213,2769,9
2025-04-02,R011,SKU006,Truck,431,5603,6
2025-01-21,R001,SKU019,Truck,286,4576,1
2025-03-03,R005,SKU015,Air,722,3610,8
2025-01-22,R015,SKU008,Air,189,1134,3
2025-03-01,R015,SKU004,Rail,562,7306,9
2025-01-20,R017,SKU017,Rail,163,815,2
2025-03-28,R014,SKU016,Air,296,2368,2
2025-04-15,R013,SKU014,Rail,799,11186,3
2025-04-23,R004,SKU008,Truck,796,8756,9
2025-01-18,R005,SKU020,Truck,189,945,9
2025-03-20,R007,SKU019,Truck,509,2545,7
2025-03-16,R017,SKU001,Truck,295,3245,2
2025-03-16,R015,SKU016,Air,568,5112,8
2025-03-07,R004,SKU006,Air,141,1410,5
2025-02-28,R018,SKU005,Air,168,1848,8
2025-01-20,R019,SKU011,Air,942,5652,7
2025-04-18,R007,SKU002,Air,400,2000,8
2025-04-14,R013,SKU014,Rail,930,13950,6
2025-01-20,R008,SKU014,Air,823,9876,5
2025-04-09,R010,SKU009,Truck,536,4288,6
2025-04-06,R007,SKU013,Air,838,7542,6
2025-04-29,R004,SKU015,Truck,735,8085,7
2025-04-19,R018,SKU010,Rail,935,14960,9
2025-04-27,R018,SKU007,Rail,540,5400,6
2025-01-06,R020,SKU014,Truck,261,2610,9
2025-01-29,R005,SKU005,Air,126,1890,7
2025-02-06,R002,SKU014,Truck,470,5170,7
2025-01-26,R020,SKU012,Air,564,7332,8
2025-01-28,R002,SKU016,Truck,334,2672,4
2025-04-29,R003,SKU006,Rail,930,14880,2
2025-04-15,R003,SKU005,Truck,526,6312,7
2025-01-12,R008,SKU014,Truck,307,2763,2
2025-03-29,R020,SKU016,Air,549,7686,8
2025-03-12,R010,SKU001,Air,54,648,6
2025-04-14,R013,SKU009,Rail,716,7160,9
2025-02-14,R002,SKU004,Rail,710,4260,6
2025-01-13,R001,SKU019,Rail,665,3325,3
2025-02-07,R007,SKU019,Air,599,7787,6
2025-03-28,R010,SKU018,Truck,995,14925,7
2025-02-21,R008,SKU014,Rail,538,6456,5
2025-03-26,R020,SKU008,Truck,86,1290,4
2025-01-18,R011,SKU004,Air,135,1080,4
2025-01-16,R013,SKU006,Air,709,6381,3
2025-01-21,R005,SKU010,Rail,277,2770,5
2025-01-24,R006,SKU002,Rail,253,2530,4
2025-04-19,R006,SKU017,Air,638,12122,7
2025-04-09,R009,SKU020,Air,629,3774,5
2025-03-13,R005,SKU002,Rail,632,10744,9
2025-04-13,R005,SKU004,Air,706,4942,1
2025-04-11,R004,SKU009,Rail,991,13874,1
2025-03-28,R017,SKU019,Rail,689,10335,9
2025-03-20,R007,SKU006,Truck,438,3504,4
2025-04-13,R003,SKU002,Rail,593,3558,1
2025-02-22,R005,SKU012,Rail,560,9520,4
2025-02-22,R016,SKU009,Air,398,1990,4
