date,sku_id,supplier,order_qty,lead_time_days,cost
2025-01-25,SKU001,SUP05,461,11,17057
2025-01-01,SKU010,SUP02,399,13,11172
2025-04-04,SKU005,SUP03,479,10,16765
2025-03-06,SKU017,SUP02,361,4,8664
2025-04-25,SKU007,SUP01,197,9,9456
2025-04-03,SKU014,SUP02,130,10,5460
2025-01-15,SKU012,SUP04,231,12,7392
2025-03-02,SKU009,SUP04,493,11,19720
2025-03-28,SKU007,SUP01,431,9,11637
2025-03-12,SKU011,SUP04,223,4,8474
2025-03-12,SKU013,SUP01,385,13,14245
2025-01-30,SKU007,SUP04,275,9,12925
2025-02-06,SKU007,SUP05,351,9,14040
2025-04-15,SKU013,SUP05,350,3,12600
2025-04-21,SKU018,SUP03,252,13,11592
2025-01-12,SKU017,SUP04,170,10,4420
2025-04-03,SKU010,SUP03,453,11,9513
2025-02-19,SKU005,SUP04,364,8,14560
2025-01-17,SKU008,SUP03,272,4,11424
2025-02-12,SKU002,SUP01,286,4,11726
2025-03-23,SKU017,SUP01,337,6,14491
2025-02-23,SKU016,SUP04,153,8,6732
2025-01-16,SKU020,SUP02,324,9,13608
2025-03-16,SKU001,SUP05,272,11,7344
2025-04-25,SKU017,SUP03,353,4,13061
2025-04-01,SKU004,SUP02,155,7,5580
2025-02-23,SKU007,SUP05,435,3,20880
2025-03-17,SKU019,SUP01,416,9,20384
2025-01-15,SKU012,SUP04,418,8,10450
2025-02-16,SKU003,SUP02,296,10,11248
2025-04-27,SKU016,SUP03,449,9,15715
2025-04-12,SKU001,SUP02,313,10,7512
2025-01-12,SKU018,SUP05,419,11,17179
2025-01-29,SKU013,SUP05,125,8,6000
2025-03-17,SKU016,SUP03,191,11,8022
2025-01-10,SKU016,SUP03,269,12,10760
2025-04-10,SKU008,SUP03,105,6,4200
2025-04-01,SKU005,SUP02,348,5,9048
2025-03-29,SKU012,SUP03,244,5,7320
2025-03-11,SKU011,SUP04,244,8,4880
2025-04-18,SKU003,SUP03,148,5,3848
2025-03-31,SKU011,SUP03,392,3,17248
2025-03-04,SKU010,SUP02,461,3,22128
2025-03-18,SKU004,SUP01,495,10,17325
2025-01-19,SKU012,SUP04,328,14,15744
2025-04-02,SKU019,SUP04,363,6,16335
2025-04-13,SKU005,SUP03,116,14,4988
2025-02-22,SKU003,SUP02,384,11,8064
2025-03-19,SKU001,SUP02,448,4,21056
2025-03-16,SKU017,SUP05,399,12,17157
2025-04-08,SKU018,SUP02,340,8,11220
2025-02-23,SKU019,SUP05,379,11,8338
2025-02-26,SKU008,SUP05,313,14,14711
2025-03-17,SKU001,SUP05,221,12,6851
2025-03-28,SKU017,SUP02,204,9,4692
2025-01-27,SKU004,SUP03,205,9,5125
2025-01-03,SKU015,SUP03,293,12,13771
2025-04-08,SKU001,SUP03,232,12,5800
2025-04-09,SKU020,SUP05,215,11,10105
2025-03-24,SKU005,SUP04,399,9,13167
2025-01-22,SKU009,SUP03,167,13,7515
2025-02-10,SKU006,SUP01,236,13,9912
2025-01-06,SKU006,SUP04,462,5,19866
2025-02-25,SKU018,SUP05,147,11,4557
2025-04-20,SKU009,SUP04,109,13,2834
2025-01-19,SKU019,SUP05,169,10,3380
2025-01-23,SKU008,SUP05,415,12,8715
2025-02-05,SKU002,SUP04,397,7,19453
2025-04-30,SKU002,SUP05,354,7,15222
2025-01-26,SKU002,SUP05,133,9,3724
2025-04-09,SKU015,SUP03,431,8,16378
2025-01-17,SKU006,SUP03,310,3,10850
2025-01-21,SKU008,SUP03,322,10,12558
2025-03-20,SKU008,SUP03,326,3,8802
2025-02-25,SKU009,SUP04,309,3,8343
2025-03-25,SKU011,SUP03,330,12,11220
2025-01-12,SKU020,SUP01,189,11,8505
2025-02-16,SKU011,SUP04,375,11,17250
2025-02-21,SKU018,SUP02,342,4,16758
2025-01-01,SKU004,SUP02,164,14,7872
2025-01-25,SKU008,SUP02,372,10,8928
2025-01-01,SKU015,SUP04,426,14,17040
2025-04-01,SKU003,SUP04,247,4,6669
2025-01-02,SKU006,SUP05,196,10,8624
2025-01-30,SKU013,SUP04,310,3,9920
2025-03-21,SKU015,SUP03,495,8,21780
2025-01-03,SKU009,SUP04,145,9,6815
2025-01-11,SKU010,SUP03,118,4,4248
2025-04-03,SKU002,SUP05,499,3,14471
2025-03-09,SKU011,SUP02,157,3,7379
2025-01-24,SKU012,SUP05,205,6,4510
2025-01-09,SKU006,SUP04,251,12,9287
2025-04-19,SKU009,SUP03,218,5,5014
2025-01-03,SKU006,SUP01,429,11,15444
2025-04-16,SKU006,SUP01,183,9,4209
2025-03-15,SKU014,SUP01,180,14,5940
2025-02-21,SKU013,SUP02,482,11,10604
2025-01-04,SKU012,SUP04,107,4,2568
2025-03-07,SKU009,SUP04,220,3,8580
2025-04-10,SKU017,SUP02,165,8,7425
2025-01-31,SKU019,SUP01,150,5,4200
2025-01-03,SKU006,SUP01,272,9,7616
2025-01-25,SKU018,SUP01,153,8,5967
2025-01-13,SKU008,SUP05,314,11,15072
2025-02-02,SKU009,SUP05,480,6,20160
2025-02-01,SKU011,SUP04,135,6,5535
2025-04-27,SKU018,SUP01,478,8,21510
2025-03-27,SKU009,SUP01,442,5,17238
2025-04-07,SKU003,SUP05,484,11,18876
2025-03-12,SKU016,SUP04,442,7,8840
2025-04-21,SKU020,SUP03,425,8,8500
2025-04-04,SKU016,SUP03,373,14,13801
2025-04-02,SKU010,SUP04,448,11,13440
2025-02-19,SKU012,SUP01,479,10,10538
2025-03-03,SKU001,SUP01,470,10,10810
2025-01-22,SKU013,SUP02,271,11,13279
2025-02-09,SKU020,SUP02,155,9,6200
2025-02-08,SKU007,SUP05,189,4,7938
2025-04-25,SKU020,SUP02,470,11,20680
2025-04-24,SKU006,SUP03,248,4,8432
2025-01-20,SKU011,SUP03,281,13,6182
2025-02-05,SKU006,SUP04,416,14,16640
2025-02-05,SKU012,SUP04,399,12,19152
2025-02-17,SKU004,SUP04,235,7,11515
2025-03-19,SKU015,SUP03,493,12,21199
2025-01-06,SKU016,SUP04,125,7,2875
2025-02-27,SKU009,SUP02,129,7,3741
2025-04-22,SKU011,SUP03,239,13,7648
2025-04-23,SKU009,SUP04,299,14,13754
2025-03-21,SKU003,SUP05,131,7,5764
2025-02-24,SKU013,SUP02,408,11,13464
2025-03-16,SKU018,SUP04,396,8,11088
2025-03-19,SKU015,SUP03,496,10,23312
2025-03-30,SKU005,SUP05,380,4,15960
2025-03-01,SKU008,SUP01,194,12,8148
2025-02-26,SKU011,SUP03,220,10,8800
2025-03-26,SKU003,SUP04,441,12,16758
2025-02-15,SKU018,SUP02,198,6,6534
2025-03-16,SKU010,SUP01,243,11,11907
2025-04-12,SKU018,SUP03,499,7,22954
2025-04-18,SKU006,SUP01,261,7,10962
2025-02-12,SKU012,SUP03,378,6,14364
2025-04-03,SKU008,SUP05,245,7,7595
2025-01-10,SKU015,SUP05,180,9,4140
2025-04-05,SKU012,SUP02,363,6,13068
2025-04-14,SKU013,SUP03,442,5,9724
2025-02-08,SKU018,SUP05,298,8,13410
2025-01-23,SKU002,SUP02,458,10,20610
2025-03-13,SKU016,SUP05,394,13,16942
2025-02-05,SKU018,SUP05,148,14,5476
2025-02-11,SKU007,SUP04,143,12,4576
2025-01-01,SKU007,SUP05,499,13,18962
2025-04-17,SKU002,SUP01,396,12,11484
2025-04-22,SKU018,SUP01,347,4,13533
2025-03-05,SKU004,SUP02,487,9,12175
2025-02-27,SKU004,SUP02,360,13,11520
2025-02-04,SKU019,SUP04,302,13,12080
2025-01-27,SKU002,SUP02,459,10,17901
2025-03-28,SKU015,SUP05,346,3,11418
2025-03-19,SKU001,SUP03,134,8,5762
2025-01-15,SKU005,SUP05,359,6,9334
2025-01-22,SKU015,SUP03,465,8,21390
2025-01-10,SKU007,SUP02,209,12,5016
2025-02-23,SKU001,SUP03,159,10,6042
2025-03-03,SKU017,SUP03,127,6,3429
2025-01-25,SKU004,SUP05,106,3,2968
2025-04-02,SKU004,SUP01,129,5,4386
2025-04-01,SKU005,SUP01,334,5,8016
2025-03-04,SKU017,SUP03,468,7,20124
2025-04-26,SKU009,SUP03,152,12,6080
2025-03-16,SKU001,SUP01,221,8,4862
2025-01-16,SKU013,SUP04,220,13,9240
2025-01-02,SKU019,SUP05,146,3,4964
2025-04-27,SKU010,SUP01,463,11,19446
2025-03-10,SKU015,SUP03,374,9,9724
2025-02-08,SKU002,SUP02,167,9,5845
2025-01-03,SKU002,SUP01,236,6,6372
2025-01-12,SKU007,SUP04,275,3,7975
2025-03-16,SKU007,SUP02,182,3,7644
2025-01-19,SKU013,SUP03,261,11,7308
2025-01-31,SKU007,SUP05,274,6,5480
2025-02-21,SKU007,SUP05,231,13,8778
2025-04-12,SKU020,SUP03,128,4,3072
2025-03-02,SKU020,SUP05,188,6,4700
2025-04-10,SKU017,SUP02,137,10,6028
2025-03-25,SKU019,SUP04,332,10,15604
2025-04-21,SKU001,SUP05,125,11,5625
2025-01-03,SKU019,SUP02,188,5,8460
2025-04-17,SKU006,SUP03,497,12,13419
2025-01-02,SKU018,SUP01,284,6,13348
2025-02-04,SKU002,SUP04,309,13,8652
2025-04-02,SKU008,SUP05,363,7,11616
2025-01-07,SKU005,SUP05,161,7,6762
2025-02-20,SKU004,SUP03,389,11,13615
2025-04-13,SKU016,SUP05,483,7,22218
2025-02-16,SKU007,SUP02,247,9,5187
2025-02-09,SKU010,SUP02,302,7,14496
2025-02-22,SKU008,SUP05,160,14,5760
2025-02-07,SKU018,SUP01,399,9,18753
2025-04-20,SKU004,SUP01,189,13,8694
2025-03-11,SKU010,SUP05,447,8,15645
2025-03-17,SKU019,SUP02,121,3,5445
2025-02-23,SKU008,SUP03,479,10,13412
2025-02-20,SKU007,SUP02,310,13,7440
2025-04-04,SKU009,SUP03,203,13,9338
2025-02-23,SKU006,SUP02,153,13,7344
