date,sku_id,store_id,quantity,revenue
2025-04-13,SKU020,STR08,70,14140
2025-03-24,SKU011,STR08,166,33034
2025-04-14,SKU003,STR06,102,10302
2025-03-29,SKU012,STR06,179,52089
2025-03-01,SKU001,STR10,71,13348
2025-02-18,SKU010,STR03,157,24178
2025-04-26,SKU003,STR05,100,23400
2025-01-21,SKU009,STR07,67,15477
2025-03-30,SKU014,STR02,58,10962
2025-02-22,SKU002,STR04,141,29610
2025-03-01,SKU007,STR08,84,15120
2025-02-05,SKU018,STR08,181,18281
2025-01-06,SKU010,STR04,103,29870
2025-01-18,SKU012,STR02,63,12222
2025-02-17,SKU015,STR08,89,16109
2025-04-21,SKU013,STR09,64,9216
2025-03-06,SKU007,STR09,137,31236
2025-04-18,SKU008,STR08,112,26656
2025-04-25,SKU017,STR08,82,18204
2025-01-05,SKU010,STR07,90,11430
2025-01-07,SKU009,STR08,61,15921
2025-02-02,SKU016,STR07,111,15096
2025-04-09,SKU012,STR08,84,24528
2025-04-09,SKU005,STR03,50,5200
2025-03-31,SKU014,STR07,76,17936
2025-03-20,SKU015,STR10,91,20293
2025-03-18,SKU019,STR07,101,19695
2025-01-04,SKU005,STR07,192,51840
2025-01-29,SKU004,STR07,135,17145
2025-03-07,SKU010,STR09,183,23241
2025-01-28,SKU012,STR04,79,22831
2025-03-16,SKU007,STR01,178,39160
2025-01-27,SKU020,STR09,52,10504
2025-03-11,SKU008,STR09,111,29304
2025-04-07,SKU019,STR10,108,23436
2025-02-01,SKU009,STR04,162,26082
2025-04-23,SKU020,STR07,179,41170
2025-04-23,SKU005,STR01,130,37180
2025-04-23,SKU002,STR02,103,19158
2025-04-11,SKU001,STR01,196,44100
2025-01-02,SKU012,STR10,117,32994
2025-03-16,SKU017,STR06,73,12264
2025-04-26,SKU002,STR06,188,45684
2025-04-07,SKU009,STR06,142,14484
2025-01-20,SKU004,STR03,139,40866
2025-01-19,SKU020,STR07,101,26260
2025-02-09,SKU007,STR02,153,34884
2025-01-11,SKU018,STR07,91,18018
2025-01-07,SKU016,STR10,161,25599
2025-04-23,SKU002,STR01,97,23183
2025-03-10,SKU005,STR07,58,11484
2025-01-19,SKU016,STR03,197,49447
2025-02-23,SKU001,STR08,165,28710
2025-04-23,SKU008,STR04,153,27999
2025-04-09,SKU016,STR09,148,37296
2025-04-03,SKU018,STR02,103,26986
2025-03-21,SKU009,STR04,117,15444
2025-01-14,SKU016,STR04,177,41595
2025-01-07,SKU003,STR01,177,23364
2025-02-17,SKU012,STR03,168,20328
2025-04-20,SKU006,STR06,158,23700
2025-02-23,SKU008,STR02,70,9030
2025-04-07,SKU015,STR01,110,16170
2025-01-19,SKU004,STR03,98,11368
2025-02-13,SKU014,STR05,55,10890
2025-04-15,SKU005,STR08,142,20590
2025-02-22,SKU003,STR01,165,47850
2025-03-26,SKU001,STR03,177,20709
2025-01-25,SKU010,STR06,107,17762
2025-04-14,SKU014,STR08,163,21353
2025-02-16,SKU002,STR10,179,20764
2025-04-14,SKU001,STR09,92,25300
2025-02-08,SKU010,STR07,75,14850
2025-02-19,SKU013,STR10,184,28704
2025-02-05,SKU013,STR04,114,12198
2025-04-20,SKU016,STR03,192,36672
2025-04-08,SKU002,STR07,135,20250
2025-01-25,SKU017,STR04,119,13566
2025-02-23,SKU011,STR05,57,8664
2025-03-01,SKU012,STR05,152,44840
2025-01-06,SKU013,STR04,143,20878
2025-04-09,SKU008,STR04,193,21616
2025-04-24,SKU010,STR03,194,42486
2025-03-04,SKU019,STR10,139,30024
2025-03-03,SKU009,STR05,178,27946
2025-01-01,SKU015,STR02,145,32625
2025-04-28,SKU016,STR09,166,37848
2025-01-16,SKU007,STR05,71,13632
2025-04-29,SKU003,STR10,193,53654
2025-04-11,SKU014,STR05,96,18528
2025-04-20,SKU020,STR05,193,53075
2025-03-26,SKU007,STR04,82,16400
2025-01-23,SKU010,STR06,118,23482
2025-02-03,SKU020,STR10,196,55860
2025-04-06,SKU001,STR08,118,12154
2025-01-16,SKU016,STR07,51,11577
2025-02-01,SKU020,STR08,189,52353
2025-02-04,SKU001,STR01,150,16650
2025-03-08,SKU001,STR01,123,17466
2025-02-13,SKU013,STR02,84,15120
2025-03-31,SKU008,STR10,139,36279
2025-04-25,SKU009,STR07,107,22791
2025-04-19,SKU011,STR08,70,18410
2025-01-10,SKU005,STR09,148,19980
2025-03-23,SKU017,STR07,145,36395
2025-01-23,SKU005,STR01,62,7564
2025-03-30,SKU003,STR09,79,9164
2025-04-23,SKU020,STR09,135,32400
2025-02-28,SKU019,STR01,149,35611
2025-03-02,SKU009,STR03,125,13500
2025-03-12,SKU014,STR04,132,27720
2025-01-16,SKU005,STR03,189,23436
2025-02-21,SKU004,STR05,193,30108
2025-02-08,SKU013,STR05,91,25935
2025-02-08,SKU014,STR10,182,47684
